,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
8071,MICROEXCEL INC,BUSINESS ANALYST,"80,000","GARDENA, CA",05/08/2018,11/02/2018,CERTIFIED
8072,ENTERPRISE SOLUTIONS INC,BUSINESS ANALYST,"80,000","PEKIN, IL",04/27/2018,05/03/2018,CERTIFIED
8073,ZOOM VIDEO COMMUNICATIONS INC,BUSINESS ANALYST,"80,000","SAN JOSE, CA",04/11/2018,04/11/2018,CERTIFIED
8074,GENIUS MINDS LLC,BUSINESS ANALYST,"80,000","PRINCETON, NJ",02/22/2018,08/14/2018,CERTIFIED
8075,HITACHI CONSULTING CORPORATION,BUSINESS ANALYST,"80,000","DALLAS, TX",02/22/2018,08/24/2018,CERTIFIED
8076,LARSEN & TOUBRO INFOTECH LIMITED,BUSINESS ANALYST,"80,000","BALA CYNWYD, PA",08/07/2018,08/14/2018,CERTIFIED
8077,LOGEXSOFT INC,BUSINESS ANALYST,"80,000","N. CHESTERFIELD, VA",03/17/2018,04/02/2018,CERTIFIED
8078,PEKING HANDICRAFT INC,BUSINESS ANALYST,"80,000","SOUTH SAN FRANCISCO, CA",08/30/2018,09/17/2018,CERTIFIED
8079,MOBIVITY INC,BUSINESS ANALYST,"80,000","CHANDLER, AZ",03/17/2018,09/12/2018,CERTIFIED
8080,S2 IT GROUP LLC,BUSINESS ANALYST,"80,000","ALPHARETTA, GA",03/03/2018,08/01/2018,CERTIFIED
8081,VISIONET SYSTEMS INC,BUSINESS ANALYST,"80,000","SAN DIEGO, CA",05/17/2018,05/17/2018,CERTIFIED
8082,TENTEK INC,BUSINESS ANALYST,"80,000","CULVER CITY, CA",03/22/2018,09/18/2018,CERTIFIED
8083,SAGATIANZ INC,BUSINESS ANALYST,"80,000","DALLAS, TX",03/20/2018,09/03/2018,CERTIFIED
8084,TENTEK INC,BUSINESS ANALYST,"80,000","CULVER CITY, CA",03/21/2018,09/18/2018,WITHDRAWN
8085,FOURTH TECHNOLOGIES INC,BUSINESS ANALYST,"80,000","CHERRY HILL, NJ",01/05/2018,01/15/2018,CERTIFIED
8086,SAGATIANZ INC,BUSINESS ANALYST,"80,000","DALLAS, TX",03/20/2018,09/03/2018,CERTIFIED
8087,EMAESTRO TECHNOLOGIES INC,BUSINESS ANALYST,"80,000","RALEIGH, NC",07/19/2018,07/19/2018,CERTIFIED
8088,SUNMERGE SYSTEMS INC,BUSINESS ANALYST,"80,000","FORT MILL, SC",03/20/2018,04/01/2018,CERTIFIED
8089,LONG FINCH TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","RICHARDSON, TX",03/16/2018,09/15/2018,CERTIFIED
8090,INTELLIPRO GROUP INC,BUSINESS ANALYST,"80,000","SAN FRANCISCO, CA",03/16/2018,09/06/2018,CERTIFIED
8091,BSASPEC INC,BUSINESS ANALYST,"80,000","MCKINNEY, TX",03/03/2018,08/20/2018,CERTIFIED
8092,MOBIVITY INC,BUSINESS ANALYST,"80,000","CHANDLER, AZ",02/16/2018,08/09/2018,CERTIFIED
8093,COUPANG GLOBAL LLC,BUSINESS ANALYST,"80,000","MOUNTAIN VIEW, CA",03/14/2018,09/12/2018,CERTIFIED
8094,RESMED CORP,BUSINESS ANALYST,"80,000","SAN DIEGO, CA",03/15/2018,09/01/2018,CERTIFIED
8095,MORLOGIC INC,BUSINESS ANALYST,"80,000","CARROLLTON, TX",03/16/2018,09/15/2018,CERTIFIED
8096,LOGISOFT TECHNOLOGIES INC,BUSINESS ANALYST,"80,000","ATLANTA, GA",03/16/2018,09/12/2018,CERTIFIED
8097,PCB APPS LLC,BUSINESS ANALYST,"80,000","HIGH POINT, NC",01/23/2018,05/05/2018,CERTIFIED
8098,GELS LOGISTICS INC,BUSINESS ANALYST,"80,000","CITY OF INDUSTRY, CA",06/11/2018,09/12/2018,CERTIFIED
8099,SUNMERGE SYSTEMS INC,BUSINESS ANALYST,"80,000","CHARLOTTE, NC",05/04/2018,05/04/2018,CERTIFIED
8100,HSBC BANK USA NA,BUSINESS ANALYST,"80,000","ARLINGTON HEIGHTS, IL",01/29/2018,07/24/2018,CERTIFIED
8101,PRUDENT TECHNOLOGIES & CONSULTING INC,BUSINESS ANALYST,"80,000","DALLAS, TX",06/04/2018,06/04/2018,WITHDRAWN
8102,LUCID TECHNOLOGIESLLC,BUSINESS ANALYST,"80,000","DETROIT, MI",04/17/2018,04/17/2018,CERTIFIED
8103,IMPERIO INC,BUSINESS ANALYST,"80,000","ALPHARETTA, GA",03/29/2018,09/28/2018,CERTIFIED
8104,PRUDENT TECHNOLOGIES & CONSULTING INC,BUSINESS ANALYST,"80,000","DALLAS, TX",06/05/2018,06/05/2018,CERTIFIED
8105,CONVERSANT SOLUTIONS INC,BUSINESS ANALYST,"80,000","CHARLOTTE, NC",03/07/2018,09/03/2018,CERTIFIED
8106,MATERIALS SOFTWARE SYSTEMS INC,BUSINESS ANALYST,"80,000","ALBANY, NY",08/08/2018,09/24/2018,CERTIFIED
8107,BSASPEC INC,BUSINESS ANALYST,"80,000","PLANO, TX",03/15/2018,08/20/2018,CERTIFIED
8108,PRODWARE SOLUTIONS LLC,BUSINESS ANALYST,"80,000","CHICAGO, IL",01/30/2018,02/05/2018,CERTIFIED
8109,HOUZZ INC,BUSINESS ANALYST,"80,000","PALO ALTO, CA",01/09/2018,01/15/2018,CERTIFIED
8110,ARMO CONSULTANTS,BUSINESS ANALYST,"80,000","GREENWOOD VILLAGE, CO",02/23/2018,03/12/2018,CERTIFIED
8111,LANCESOFT INC,BUSINESS ANALYST,"80,000","WILLISTON, VT",05/14/2018,05/21/2018,CERTIFIED
8112,TATA CONSULTANCY SERVICES LIMITED,BUSINESS ANALYST,"80,000","FORT MILL, SC",07/24/2018,07/24/2018,CERTIFIED
8113,ASPYRETECH INC,BUSINESS ANALYST,"80,000","ST PETERS, MO",03/14/2018,09/01/2018,CERTIFIED
8114,CELCOM SOFTWARE SOLUTIONS INC,BUSINESS ANALYST,"80,000","SAN DIEGO, CA",03/14/2018,09/01/2018,CERTIFIED
8115,QIAGEN LLC,BUSINESS ANALYST,"80,000","GERMANTOWN, MD",08/21/2018,09/04/2018,CERTIFIED
8116,FUSION PLUS SOLUTIONS INC,BUSINESS ANALYST,"80,000","CINNAMINSON, NJ",09/05/2018,09/05/2018,CERTIFIED
8117,GENIUS MINDS LLC,BUSINESS ANALYST,"80,000","HOPKINS, MN",02/13/2018,08/14/2018,CERTIFIED
8118,INTERNATIONAL TECHNOLOGIES PRO LLC,BUSINESS ANALYST,"80,000","FRAMINGHAM, MA",05/08/2018,05/08/2018,CERTIFIED
8119,GLOBAL BUSINESS CONSULTING SERVICES INC,BUSINESS ANALYST,"80,000","BOSTON, MA",08/23/2018,09/09/2018,CERTIFIED
8120,TECHNOVATORS INC,BUSINESS ANALYST,"80,000","AUSTIN, TX",05/31/2018,06/04/2018,CERTIFIED
8121,ZOOM VIDEO COMMUNICATIONS INC,BUSINESS ANALYST,"80,000","SAN JOSE, CA",08/31/2018,09/10/2018,CERTIFIED
8122,LAKKI LLC,BUSINESS ANALYST,"80,000","HARRISBURG, PA",01/30/2018,02/05/2018,CERTIFIED
8123,FIREFLY PROS INC,BUSINESS ANALYST,"80,000","MINNEAPOLIS, MN",06/22/2018,07/16/2018,CERTIFIED
8124,INNOVATIVE SCHEDULING LLC,BUSINESS ANALYST,"80,000","GAINESVILLE, FL",02/19/2018,08/18/2018,CERTIFIED
8125,VQUEST TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","MINNEAPOLIS, MN",03/17/2018,07/31/2018,CERTIFIED
8126,PROSOFT TECHNOLOGY GROUP INC,BUSINESS ANALYST,"80,000","ROANOKE, VA",08/08/2018,01/01/2019,CERTIFIED
8127,PLUG & PLAY LLC,BUSINESS ANALYST,"80,000","NEW YORK, NY",04/13/2018,04/23/2018,CERTIFIED
8128,DOTCOM TEAM LLC,BUSINESS ANALYST,"80,000","OAK BROOK, IL",03/28/2018,09/27/2018,CERTIFIED
8129,INTONE NETWORKS INC,BUSINESS ANALYST,"80,000","MARIETTA, GA",03/05/2018,03/05/2018,CERTIFIED
8130,SAGITEC SOLUTIONS LLC,BUSINESS ANALYST,"80,000","NORTH ROYALTON, OH",03/30/2018,08/22/2018,CERTIFIED
8131,INTERGLOBE TECHNOLOGIES INC,BUSINESS ANALYST,"80,000","VALENCIA, CA",02/16/2018,08/14/2018,CERTIFIED
8132,MAXIMA CONSULTING INC,BUSINESS ANALYST,"80,000","BOSTON, MA",03/07/2018,09/05/2018,CERTIFIED
8133,FUSION PLUS SOLUTIONS INC,BUSINESS ANALYST,"80,000","CHERRY HILL, NJ",02/22/2018,04/16/2018,CERTIFIED
8134,ALLAGI TECHNOLGIES INC,BUSINESS ANALYST,"80,000","NASHUA, NH",03/26/2018,09/25/2018,CERTIFIED
8135,SYNTHESIS SYSTEMS INC,BUSINESS ANALYST,"80,000","SAN DIEGO, CA",03/13/2018,09/01/2018,CERTIFIED
8136,S2 IT GROUP LLC,BUSINESS ANALYST,"80,000","ALPHARETTA, GA",03/03/2018,08/01/2018,CERTIFIED
8137,SYMBIOUN TECHNOLOGIES INC,BUSINESS ANALYST,"80,000","LOS ANGELES, CA",02/15/2018,02/26/2018,CERTIFIED
8138,RESMED INC,BUSINESS ANALYST,"80,000","SAN DIEGO, CA",03/07/2018,09/01/2018,CERTIFIED
8139,NGA GROUP INC,BUSINESS ANALYST,"80,000","HARTFORD, CT",04/10/2018,08/13/2018,CERTIFIED
8140,SMART IT FRAME LLC,BUSINESS ANALYST,"80,000","ALBANY, NY",09/05/2018,09/10/2018,CERTIFIED
8141,WALTECH INC,BUSINESS ANALYST,"80,000","MINNEAPOLIS, MN",03/20/2018,09/16/2018,CERTIFIED
8142,LUCID TECHNOLOGIESLLC,BUSINESS ANALYST,"80,000","RICHMOND, VA",07/18/2018,07/18/2018,CERTIFIED
8143,S2 IT GROUP LLC,BUSINESS ANALYST,"80,000","ALPHARETTA, GA",03/03/2018,08/01/2018,CERTIFIED
8144,SYNTHESIS SYSTEMS INC,BUSINESS ANALYST,"80,000","SAN DIEGO, CA",03/14/2018,09/01/2018,CERTIFIED
8145,BSASPEC INC,BUSINESS ANALYST,"80,000","FARMINGTON, CT",03/27/2018,08/20/2018,CERTIFIED
8146,PAMTEN INC,BUSINESS ANALYST,"80,000","SCOTTSDALE, AZ",01/24/2018,05/23/2018,CERTIFIED
8147,G3 INFOTEK INC,BUSINESS ANALYST,"80,000","DURHAM, NC",03/13/2018,09/01/2018,CERTIFIED
8148,SAGATIANZ INC,BUSINESS ANALYST,"80,000","DALLAS, TX",03/21/2018,09/03/2018,CERTIFIED
8149,CONSULTADD INC,BUSINESS ANALYST,"80,000","CHARLOTTE, NC",03/06/2018,09/01/2018,CERTIFIED
8150,PROSOFT TECHNOLOGY GROUP INC,BUSINESS ANALYST,"80,000","ROANOKE, VA",07/06/2018,09/01/2018,WITHDRAWN
8151,VASTEK INC,BUSINESS ANALYST,"80,000","FOSTER CITY, CA",03/21/2018,09/01/2018,CERTIFIED
8152,GENIUS MINDS LLC,BUSINESS ANALYST,"80,000","MINNEAPOLIS, MN",08/31/2018,09/30/2018,CERTIFIED
8153,RACEDOG LTD,BUSINESS ANALYST,"80,000","LANSING, MI",03/08/2018,09/01/2018,CERTIFIED
8154,STANDAV CORP,BUSINESS ANALYST,"80,000","IRVING, TX",08/13/2018,08/17/2018,CERTIFIED
8155,SDLC MANAGEMENT INC,BUSINESS ANALYST,"80,000","PITTSBURGH, PA",04/26/2018,05/14/2018,CERTIFIED
8156,PRODWARE SOLUTIONS LLC,BUSINESS ANALYST,"80,000","CHICAGO, IL",04/11/2018,04/23/2018,CERTIFIED
8157,CONTEXTMEDIA HEALTH LLC,BUSINESS ANALYST,"80,000","NEW YORK, NY",03/15/2018,09/14/2018,CERTIFIED
8158,INCORPORAN INC,BUSINESS ANALYST,"80,000","WESTLAKE VILLAGE, CA",01/02/2018,01/08/2018,CERTIFIED
8159,NAGARRO INC,BUSINESS ANALYST,"80,000","COOPERSBURG, PA",03/13/2018,08/21/2018,CERTIFIED
8160,ABBOTT LABORATORIES,BUSINESS ANALYST,"80,000","ABBOTT PARK, IL",02/14/2018,02/26/2018,CERTIFIED
8161,SAGATIANZ INC,BUSINESS ANALYST,"80,000","DALLAS, TX",03/21/2018,09/03/2018,CERTIFIED
8162,BSASPEC INC,BUSINESS ANALYST,"80,000","FARMINGTON, CT",03/27/2018,08/20/2018,CERTIFIED
8163,MATERIALS SOFTWARE SYSTEMS INC,BUSINESS ANALYST,"80,000","ALBANY, NY",08/01/2018,08/20/2018,CERTIFIED
8164,CORE SOFTWARE TECHNOLOGIES INC,BUSINESS ANALYST,"80,000","OAKS, PA",03/21/2018,09/02/2018,CERTIFIED
8165,SMART IT FRAME LLC,BUSINESS ANALYST,"80,000","ALBANY, NY",08/08/2018,09/14/2018,WITHDRAWN
8166,DATASYS CONSULTING & SOFTWARE INC,BUSINESS ANALYST,"80,000","SAN LUIS OBISPO, CA",01/29/2018,02/06/2018,WITHDRAWN
8167,VISIONET SYSTEMS INC,BUSINESS ANALYST,"80,000","TAMPA, FL",03/06/2018,09/01/2018,CERTIFIED
8168,R3 TECHNOLOGY INC,BUSINESS ANALYST,"80,000","ALBANY, NY",01/04/2018,02/02/2018,CERTIFIED
8169,RANG TECHNOLOGIES INC,BUSINESS ANALYST,"80,000","CHATTANOOGA, TN",03/20/2018,09/01/2018,CERTIFIED
8170,SUNMERGE SYSTEMS INC,BUSINESS ANALYST,"80,000","CHARLOTTE, NC",08/08/2018,08/08/2018,CERTIFIED
8171,TEKBIZ SOLUTIONS LLC,BUSINESS ANALYST,"80,000","COLUMBIA, SC",03/19/2018,09/10/2018,CERTIFIED
8172,NUTECH SYSTEMS INC,BUSINESS ANALYST,"80,000","ATLANTA, GA",06/05/2018,06/25/2018,CERTIFIED
8173,S2 IT GROUP LLC,BUSINESS ANALYST,"80,000","ALPHARETTA, GA",03/03/2018,08/01/2018,CERTIFIED
8174,KK ASSOCIATES LLC,BUSINESS ANALYST,"80,000","BIRMINGHAM, AL",03/20/2018,09/10/2018,CERTIFIED
8175,IT CATS LLC,BUSINESS ANALYST,"80,000","TROY, MI",05/24/2018,05/29/2018,CERTIFIED
8176,S2 IT GROUP LLC,BUSINESS ANALYST,"80,000","ALPHARETTA, GA",03/03/2018,08/01/2018,CERTIFIED
8177,CONSULTADD INC,BUSINESS ANALYST,"80,000","CHARLOTTE, NC",03/05/2018,09/01/2018,CERTIFIED
8178,S2 IT GROUP LLC,BUSINESS ANALYST,"80,000","ALPHARETTA, GA",03/03/2018,08/01/2018,CERTIFIED
8179,EMAESTRO TECHNOLOGIES INC,BUSINESS ANALYST,"80,000","WAYNE, NJ",07/02/2018,08/01/2018,CERTIFIED
8180,HUDSON DATA LLC,BUSINESS ANALYST,"80,018","PITTSBURG, PA",09/10/2018,03/07/2019,WITHDRAWN
8181,HUDSON DATA LLC,BUSINESS ANALYST,"80,018","PITTSBURG, PA",09/10/2018,03/07/2019,CERTIFIED
8182,CELLULAR TOUCH WIRELESS INC,BUSINESS ANALYST,"80,080","BRANDON, FL",05/22/2018,09/30/2018,CERTIFIED
8183,SYNTEL INC,BUSINESS ANALYST,"80,096","WOODLAND HILLS, CA",08/08/2018,08/08/2018,CERTIFIED
8184,DIZER CORP,BUSINESS ANALYST,"80,100","CREVE COEUR, MO",10/26/2018,12/03/2018,CERTIFIED
8185,VST CONSULTING INC,BUSINESS ANALYST,"80,200","LIVINGSTON, NJ",09/21/2018,10/01/2018,CERTIFIED
8186,NIIT TECHNOLOGIES LIMITED,BUSINESS ANALYST,"80,226","RENO, NV",09/05/2018,09/12/2018,DENIED
8187,NIIT TECHNOLOGIES LIMITED,BUSINESS ANALYST,"80,226","RENO, NV",09/04/2018,09/04/2018,DENIED
8188,CLEARAVENUE LLC,BUSINESS ANALYST,"80,300","JERSEY CITY, NJ",09/17/2018,10/01/2018,CERTIFIED
8189,MI SOFTECH INC,BUSINESS ANALYST,"80,434","JACKSONVILLE, FL",03/07/2018,09/06/2018,CERTIFIED
8190,SLK AMERICA INC,BUSINESS ANALYST,"80,434","CINCINNATI, OH",07/06/2018,07/06/2018,CERTIFIED
8191,STATE STREET BANK AND TRUST COMPANY,BUSINESS ANALYST,"80,496","BOSTON, MA",03/06/2018,09/01/2018,CERTIFIED
8192,ALLEGIS GROUP INC,BUSINESS ANALYST,"80,579","HANOVER, MD",12/10/2018,12/13/2018,CERTIFIED
8193,ALLEGIS GROUP INC,BUSINESS ANALYST,"80,579","CATONSVILLE, MD",11/16/2018,11/23/2018,CERTIFIED
8194,FIRST TEK INC,BUSINESS ANALYST,"80,579","BALTIMORE,, MD",10/08/2018,10/22/2018,CERTIFIED
8195,FIRST TEK INC,BUSINESS ANALYST,"80,579","WINDSOR MILL, MD",10/16/2018,10/16/2018,CERTIFIED
8196,I 5 TECH INC,BUSINESS ANALYST,"80,600","MINNEAPOLIS, MN",02/16/2018,02/16/2018,CERTIFIED
8197,ARMO CONSULTANTS,BUSINESS ANALYST,"80,621","BILLINGS, MT",04/25/2018,04/30/2018,CERTIFIED
8198,ARMO CONSULTANTS,BUSINESS ANALYST,"80,621","BILLINGS, MT",04/24/2018,04/30/2018,CERTIFIED
8199,AKVARR INC,BUSINESS ANALYST,"80,642","GAITHERSBURG, MD",09/10/2018,01/01/2019,CERTIFIED
8200,ASPIRE SYSTEMS INC,BUSINESS ANALYST,"80,664","CHICAGO, IL",10/11/2018,10/25/2018,WITHDRAWN
8201,ASPIRE SYSTEMS CONSULTING INC,BUSINESS ANALYST,"80,664","CHICAGO, IL",10/12/2018,10/25/2018,WITHDRAWN
8202,ASPIRE SYSTEMS CONSULTING INC,BUSINESS ANALYST,"80,664","CHICAGO, IL",10/12/2018,10/25/2018,CERTIFIED
8203,ALTIMETRIK CORP,BUSINESS ANALYST,"80,704","TAYLOR, MI",08/30/2018,10/18/2018,CERTIFIED
8204,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"80,710","WILMINGTON, DE",12/12/2018,12/12/2018,WITHDRAWN
8205,LARSEN & TOUBRO INFOTECH LIMITED,BUSINESS ANALYST,"80,832","IRVINE, CA",05/18/2018,05/25/2018,CERTIFIED
8206,HEALTH CARE SERVICES CORPORATION,BUSINESS ANALYST,"80,850","TULSA, OK",12/13/2018,01/07/2019,CERTIFIED
8207,FIRST OBJECT INC,BUSINESS ANALYST,"80,850","NORFOLK, VA",10/31/2018,11/07/2018,CERTIFIED
8208,SYNTEL INC,BUSINESS ANALYST,"80,850","IRVING, TX",08/22/2018,08/22/2018,CERTIFIED
8209,NFC SOLUTIONS INC,BUSINESS ANALYST,"80,850","ALLEN, TX",08/06/2018,08/06/2018,CERTIFIED
8210,SYNTEL INC,BUSINESS ANALYST,"80,850","IRVING, TX",08/24/2018,08/24/2018,CERTIFIED
8211,ATRIUM WINDOWS & DOORS INC,BUSINESS ANALYST,"80,850","DALLAS, TX",07/20/2018,11/16/2018,CERTIFIED
8212,NORTEK CONSULTING INC,BUSINESS ANALYST,"80,850","ALLEN, TX",07/27/2018,07/30/2018,CERTIFIED
8213,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"80,850","DALLAS, TX",09/10/2018,09/10/2018,CERTIFIED
8214,TECH MAHINDRA (AMERICAS)INC,BUSINESS ANALYST,"80,900","CARSON CITY, NV",03/10/2018,09/09/2018,CERTIFIED
8215,TECH MAHINDRA (AMERICAS)INC,BUSINESS ANALYST,"80,900","ATLANTA, GA",02/21/2018,08/23/2018,CERTIFIED
8216,TECH MAHINDRA (AMERICAS)INC,BUSINESS ANALYST,"80,900","DALLAS, TX",03/10/2018,09/09/2018,CERTIFIED
8217,TECH MAHINDRA (AMERICAS)INC,BUSINESS ANALYST,"80,900","ATLANTA, GA",03/10/2018,09/09/2018,CERTIFIED
8218,TECH MAHINDRA (AMERICAS)INC,BUSINESS ANALYST,"80,900","ORLANDO, FL",02/22/2018,08/24/2018,CERTIFIED
8219,TECH MAHINDRA (AMERICAS)INC,BUSINESS ANALYST,"80,900","EAGAN, MN",02/20/2018,08/22/2018,CERTIFIED
8220,SYNAPSIS INC,BUSINESS ANALYST,"80,912","ROSEMONT, IL",07/02/2018,01/01/2019,CERTIFIED
8221,ZEOMEGA INC,BUSINESS ANALYST,"80,974","PLANO, TX",12/14/2018,12/21/2018,CERTIFIED
8222,ZEOMEGA INC,BUSINESS ANALYST,"80,974","PLANO, TX",12/14/2018,12/21/2018,CERTIFIED
8223,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"80,987","PETALUMA, CA",07/31/2018,08/10/2018,CERTIFIED
8224,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"80,987","PETALUMA, CA",07/30/2018,08/10/2018,WITHDRAWN
8225,ADROIT ASSOCIATES INC,BUSINESS ANALYST,"81,000","BOISE, ID",11/08/2018,11/08/2018,CERTIFIED
8226,SYSINTELLI INC,BUSINESS ANALYST,"81,000","FRISCO, TX",07/19/2018,10/01/2018,CERTIFIED
8227,INDUS GROUP INC,BUSINESS ANALYST,"81,000","HARRISBURG, PA",03/26/2018,09/06/2018,CERTIFIED
8228,VSQUARE INFOTECH INC,BUSINESS ANALYST,"81,000","PITTSBURGH, PA",07/16/2018,10/27/2018,CERTIFIED
8229,NEXSOLV INC,BUSINESS ANALYST,"81,000","HANOVER, MD",08/10/2018,08/10/2018,CERTIFIED
8230,MANAGEMENT AND GLOBAL TECHNOLOGIES CONSULTING LLC,BUSINESS ANALYST,"81,000","DORCHESTER, MA",03/12/2018,09/04/2018,CERTIFIED
8231,ADROIX CORP,BUSINESS ANALYST,"81,000","PLANO, TX",07/06/2018,07/23/2018,CERTIFIED
8232,SUNRAY INFOSYS INC,BUSINESS ANALYST,"81,000","LOUISVILLE, KY",01/29/2018,02/12/2018,CERTIFIED
8233,PRIMISOFT LLC,BUSINESS ANALYST,"81,000","DENVER, CO",03/22/2018,09/19/2018,CERTIFIED
8234,CAVALIER IT INC,BUSINESS ANALYST,"81,000","SIOUX FALLS, SD",03/29/2018,04/09/2018,CERTIFIED
8235,SCHLUMBERGER TECHNOLOGY CORPORATION,BUSINESS ANALYST,"81,058","HOUSTON, TX",02/22/2018,03/01/2018,CERTIFIED - WITHDRAWN
8236,TECHNOCORP SOLUTIONS INC,BUSINESS ANALYST,"81,058","HOUSTON, TX",03/20/2018,09/01/2018,CERTIFIED
8237,TECHNOCORP SOLUTIONS INC,BUSINESS ANALYST,"81,058","HOUSTON, TX",03/23/2018,09/01/2018,CERTIFIED
8238,AGAP TECHNOLOGIES INC,BUSINESS ANALYST,"81,058","HOUSTON, TX",03/17/2018,09/14/2018,CERTIFIED
8239,AZEE SYSTEMS INC,BUSINESS ANALYST,"81,058","HOUSTON, TX",03/06/2018,03/20/2018,CERTIFIED
8240,SUNERA TECHNOLOGIES INC,BUSINESS ANALYST,"81,058","HOUSTON, TX",05/22/2018,05/22/2018,CERTIFIED
8241,ROYAL TECHNOCRATS INC,BUSINESS ANALYST,"81,058","HOUSTON, TX",03/15/2018,09/01/2018,CERTIFIED
8242,ROYAL TECHNOCRATS INC,BUSINESS ANALYST,"81,058","HOUSTON, TX",03/15/2018,09/01/2018,CERTIFIED
8243,ROYAL TECHNOCRATS INC,BUSINESS ANALYST,"81,058","HOUSTON, TX",03/15/2018,09/01/2018,CERTIFIED
8244,FLEXERA GLOBAL INC,BUSINESS ANALYST,"81,058","SUGAR LAND, TX",02/27/2018,02/27/2018,WITHDRAWN
8245,AGAP TECHNOLOGIES INC,BUSINESS ANALYST,"81,058","HOUSTON, TX",01/17/2018,01/22/2018,CERTIFIED
8246,AZEE SYSTEMS INC,BUSINESS ANALYST,"81,058","HOUSTON, TX",03/06/2018,03/20/2018,CERTIFIED
8247,AZEE SYSTEMS INC,BUSINESS ANALYST,"81,058","HOUSTON, TX",03/06/2018,03/20/2018,CERTIFIED
8248,SCHLUMBERGER TECHNOLOGY CORPORATION,BUSINESS ANALYST,"81,058","HOUSTON, TX",02/22/2018,03/01/2018,CERTIFIED
8249,SCM DATA INC,BUSINESS ANALYST,"81,060","HOUSTON, TX",01/16/2018,01/22/2018,CERTIFIED
8250,SLIGO SOFTWARE SOLUTIONS INC,BUSINESS ANALYST,"81,120","ALBANY, NY",08/14/2018,08/22/2018,CERTIFIED
8251,CONSULTADD INC,BUSINESS ANALYST,"81,120","DORCHESTER, MA",03/02/2018,09/01/2018,CERTIFIED
8252,LARSEN & TOUBRO INFOTECH LIMITED,BUSINESS ANALYST,"81,132","EDISON, NJ",09/07/2018,09/14/2018,CERTIFIED
8253,CHARTER COMMUNICATIONS INC,BUSINESS ANALYST,"81,162","GREENWOOD VILLAGE, CO",10/12/2018,11/07/2018,CERTIFIED
8254,FIRST TEK INC,BUSINESS ANALYST,"81,182","PATASKALA, OH",08/17/2018,02/16/2019,CERTIFIED
8255,FIRST TEK DOS LLC,BUSINESS ANALYST,"81,182","PATASKALA,, OH",08/13/2018,08/27/2018,CERTIFIED
8256,US IT SOLUTIONS INC,BUSINESS ANALYST,"81,182","STAMFORD, CT",03/16/2018,09/14/2018,CERTIFIED
8257,TECH MAHINDRA (AMERICAS)INC,BUSINESS ANALYST,"81,183","NAUGATUCK, CT",02/14/2018,02/14/2018,CERTIFIED
8258,COMPREHENSIVE RESOURCES INC,BUSINESS ANALYST,"81,200","COLUMBUS, OH",08/10/2018,08/20/2018,CERTIFIED
8259,ENTMATRIX,BUSINESS ANALYST,"81,203","AUSTIN, TX",05/11/2018,05/11/2018,CERTIFIED
8260,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8261,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8262,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8263,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8264,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/12/2018,09/11/2018,CERTIFIED
8265,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/10/2018,09/09/2018,CERTIFIED
8266,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8267,KINETIX TRADING SOLUTIONS INC,BUSINESS ANALYST,"81,250","TAMPA, FL",03/19/2018,09/18/2018,CERTIFIED
8268,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8269,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8270,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8271,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8272,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/15/2018,03/30/2018,CERTIFIED
8273,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8274,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8275,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
8276,STELLIUM INC,BUSINESS ANALYST,"81,250","HOUSTON, TX",03/18/2018,09/17/2018,CERTIFIED
